danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target,song_title,artist
0.379,0.134,11,-11.868,1,0.0354,0.919,0,0.152,0.174,137.385,239144,4,0,only in my dreams,lullaboy
0.699,0.351,9,-8.541,0,0.0354,0.778,0,0.0976,0.257,129.918,272250,4,0,Kryptonite,Numcha
0.598,0.349,7,-12.988,1,0.041,0.567,0.0025,0.111,0.276,95.844,263293,4,1,parent song,"Jeremy Zucker, Chelsea Cutler"
0.597,0.351,4,-8.043,1,0.0281,0.727,3.86E-05,0.319,0.243,119.948,220750,3,1,Those Eyes,New West
0.532,0.319,5,-7.461,1,0.0288,0.399,2.52E-05,0.138,0.166,62.984,243797,4,1,I Don't Wanna Be Okay Without You,Charlie Burg
0.564,0.352,9,-10.788,1,0.0321,0.673,0.000213,0.449,0.415,85.013,151913,4,0,Wildfire,Cautious Clay
0.895,0.337,4,-11.282,1,0.0388,0.434,0,0.305,0.598,97.06,150750,4,0,Cat Cafe,Shoffy
0.786,0.588,1,-3.777,0,0.165,0.0503,0,0.167,0.685,75.011,156505,4,0,parachute,John K
0.84,0.495,9,-9.54,1,0.0406,0.589,0.552,0.103,0.808,125.993,264762,4,1,"Hello, Anxiety",Phum Viphurit
0.486,0.361,0,-7.682,0,0.21,0.135,0,0.0989,0.5,196.78,173231,3,1,Flower,Johnny Stimson
0.379,0.905,5,-6.466,1,0.0947,0.12,5.27E-05,0.187,0.38,82.253,186547,1,0,Pontiac,Mat Kearney
0.735,0.37,5,-12.581,0,0.0705,0.389,0.00163,0.106,0.305,112.015,157524,4,0,Lonely City,Mokita
0.409,0.51,2,-5.815,1,0.0304,0.253,0,0.129,0.349,139.728,225813,4,0,Lighthouse,Ha Hyun Sang
0.848,0.364,11,-10.058,1,0.0637,0.697,0.00529,0.14,0.569,137.541,214160,4,1,Traingazing,"Sam Wills, Honey Mooncie"
0.523,0.472,7,-6.829,1,0.032,0.623,0,0.137,0.353,147.945,232000,4,1,"Me to You, You to Me",Mido and Falasol
0.715,0.342,3,-8.379,1,0.0302,0.472,4.07E-05,0.123,0.395,68.994,169219,4,0,The Green,Chris James
0.825,0.589,8,-6.749,1,0.0378,0.0308,1.98E-05,0.105,0.784,121.979,164766,4,0,Close to the Fire,Chris James
0.573,0.791,0,-5.596,0,0.0304,0.104,0,0.32,0.603,107.072,226610,4,1,?????,Seikatsu Wa Wasurete
0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,164640,4,0,Magic In The Hamptons (feat. Lil Yachty),"Social House, Lil Yachty"
0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26E-06,0.0429,0.51,122.996,204878,4,1,broken,lovelytheband
0.751,0.641,6,-6.36,0,0.0426,0.0824,0,0.164,0.703,120.051,186500,4,0,The Girl That's Underneath (feat. Jabbar Hakeem),"Jake Miller, Jabbar Hakeem"
0.758,0.486,11,-7.617,1,0.0424,0.202,0.000896,0.0673,0.513,109.96,364333,1,1,97 Avalon,Charlie Burg
0.736,0.217,9,-12.549,0,0.0926,0.498,0,0.822,0.489,99.249,227000,4,1,To Dance Is To Love [Live at Northeastern] - Acoustic,Charlie Burg
0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,248336,4,1,It's Not Living (If It's Not With You),The 1975
0.745,0.387,1,-12.839,0,0.0327,0.179,0.00633,0.0736,0.772,95.985,190470,4,1,Lancaster Nights,Charlie Burg
0.768,0.716,10,-5.11,1,0.0404,0.35,0,0.15,0.841,131.43,163026,4,0,Sunroof,"Nicky Youre, dazy"
0.708,0.477,8,-7.297,1,0.0565,0.292,1.75E-06,0.255,0.733,149.929,183000,4,0,KEEP IT UP,Rex Orange County
0.501,0.167,1,-14.061,1,0.0484,0.885,0,0.111,0.356,112.275,228443,3,0,Happiest Year,Jaymes Young
0.819,0.652,2,-8.466,1,0.0515,0.124,0.000752,0.527,0.967,126.01,177420,4,0,dancing in the kitchen,Zachary Knowles
0.748,0.543,4,-9.109,1,0.0569,0.562,2.96E-05,0.122,0.623,104.608,188441,4,1,Come To Me (with Musiq Soulchild),"James Vickery, Musiq Soulchild"
0.472,0.294,7,-10.862,1,0.0569,0.801,0,0.352,0.278,103.383,174490,5,0,Love Like That (Words from Her),Suriel Hess
0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4,1,Welcome to the Black Parade,My Chemical Romance
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,0,As It Was,Harry Styles
0.564,0.864,4,-5.121,1,0.0341,0.0761,0,0.182,0.534,95.984,228933,4,0,Without You,Parachute
0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,191822,4,0,About Damn Time,Lizzo
0.691,0.741,4,-5.617,1,0.288,0.0868,0,0.109,0.318,161.917,125747,4,0,It Is What It Is,Jamie Miller
0.815,0.442,6,-7.462,0,0.107,0.457,0,0.101,0.706,90.019,151508,4,1,sun and moon,anees
0.633,0.537,6,-10.45,0,0.0544,0.0141,3.72E-05,0.103,0.889,117.907,197947,4,1,Feeling Lonely,boy pablo
0.71,0.83,0,-7.208,1,0.03,0.0518,0.00523,0.353,0.936,129.02,146484,4,0,Courtside,Tim Atlas
0.276,0.846,1,-7.561,0,0.0725,0.000244,0.311,0.197,0.668,157.458,139605,4,0,Honey,Vacations
0.729,0.526,8,-7.241,1,0.0986,0.229,4.56E-05,0.309,0.786,110.02,176481,4,0,Butterflies,Fiji Blue
0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,177955,4,1,Late Night Talking,Harry Styles
0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,177720,3,0,Until I Found You,Stephen Sanchez
0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,0.896,105.993,243508,4,1,Cinema,Harry Styles
0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,215111,4,1,Show Me How,Men I Trust
0.633,0.468,3,-9.848,1,0.0366,0.47,0.000147,0.12,0.311,96.986,215258,4,0,How'd You Know That,Junyang
0.517,0.758,11,-5.517,1,0.0499,0.089,7.25E-06,0.653,0.377,90.087,181515,4,0,Kawaii Hawaii,Forests
0.462,0.387,0,-7.401,1,0.0292,0.567,0,0.164,0.0428,122.698,261080,4,0,Not Today,Imagine Dragons
0.582,0.697,5,-6.477,0,0.028,0.232,0.0616,0.103,0.412,111.905,213227,4,0,Solid Ground,Vance Joy
0.642,0.549,4,-9.624,1,0.0443,0.0526,0,0.442,0.935,145.063,203586,4,1,can't tell,brb.
0.66,0.522,2,-7.754,1,0.0323,0.196,0,0.356,0.524,135.825,161982,4,0,Taking Pictures Of You,The Kooks
0.72,0.668,7,-4.463,0,0.183,0.525,1.57E-06,0.213,0.646,98.002,227926,4,0,The Way Things Were,"edbl, Isaac Waddington"
0.742,0.482,2,-5.427,1,0.0264,0.584,1.38E-06,0.224,0.61,95.003,212762,4,1,Lemon Squeezy,"edbl, Kazuki Isogai, Taura Lamb"
0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,154983,4,1,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers"
0.555,0.536,7,-8.233,1,0.0452,0.669,0,0.0623,0.203,118.057,191638,4,1,Love Of My Life,Harry Styles
0.576,0.457,0,-6.473,1,0.0304,0.143,3.05E-05,0.0917,0.301,138.984,218577,4,0,Satellite,Harry Styles
0.514,0.978,11,-2.779,0,0.056,0.00025,0.168,0.328,0.966,142.122,200207,4,0,Chit Chat,Beach Weather
0.701,0.728,2,-5.226,1,0.0468,0.0178,0,0.17,0.696,91.071,168880,4,0,Wish You Were Sober,Conan Gray
0.662,0.789,7,-7.634,0,0.0305,0.0141,0,0.317,0.881,135.01,207556,4,1,???,Vaundy
0.42,0.885,5,-4.021,0,0.0712,0.055,0.000187,0.113,0.757,104.959,264430,4,0,Heart of Mine,THE DRIVER ERA
0.559,0.559,11,-6.425,1,0.0358,0.0145,0,0.138,0.338,72.498,220780,4,0,Angel Baby,Troye Sivan
0.77,0.54,1,-9.087,1,0.0325,0.0347,1.49E-05,0.0326,0.804,89.989,214000,4,0,Hittin' Different,Hadji Gaviota
0.626,0.809,1,-5.342,1,0.0272,0.00502,1.10E-05,0.0829,0.714,115.952,220815,4,1,Wild Child,"Shin Sakiura, brb."
0.719,0.461,8,-8.191,1,0.0454,0.279,0,0.0875,0.548,123.915,209200,4,0,AMAZING,Rex Orange County
0.697,0.515,6,-6.335,1,0.0502,0.0576,1.81E-06,0.294,0.37,95.086,155385,4,0,Oh shit...are we in love?,Valley
0.581,0.834,5,-7.95,0,0.0278,0.0165,0,0.977,0.719,97.131,224426,4,1,"This Love - Live at Live 8, Benjamin Franklin Parkway, Philadelphia, 2nd July 2005",Maroon 5
0.405,0.505,5,-7.75,1,0.0458,0.592,0,0.121,0.318,164.971,262600,4,0,Television / So Far So Good,Rex Orange County
0.837,0.373,7,-10.816,0,0.067,0.782,1.79E-05,0.176,0.477,107.993,248838,4,1,Your Love (Deja Vu) - Stripped Back,Glass Animals
0.689,0.338,11,-7.634,0,0.0629,0.349,5.70E-05,0.0649,0.568,128.012,320654,4,0,The Other Side Of Paradise,Glass Animals
0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,204014,4,1,Hot Rod,Dayglow
0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14E-06,0.115,0.213,166.159,229173,4,1,Atlantis,Seafret
0.534,0.499,6,-6.634,0,0.0406,0.3,0,0.219,0.716,79.962,207373,4,1,woman on the hills,Isaac Dunbar
0.345,0.418,7,-7.787,0,0.0316,0.299,1.75E-05,0.103,0.267,109.044,198800,3,1,Feeling Good,Muse
0.798,0.556,11,-8.597,1,0.0303,0.527,0.000353,0.0959,0.627,109.994,236727,4,1,Lover Boy,Phum Viphurit
0.535,0.962,11,-3.453,1,0.0638,0.00361,0,0.163,0.687,144.984,204526,4,0,Jet Lag (feat. Natasha Bedingfield),"Simple Plan, Natasha Bedingfield"
0.761,0.565,11,-7.016,0,0.0411,0.345,0,0.0825,0.583,105.008,173286,4,0,Cherry Wine,grentperez
0.506,0.817,11,-5.051,0,0.0335,0.00272,0,0.0486,0.506,109.952,208707,4,1,House of Memories,Panic! At The Disco
0.704,0.599,6,-7.349,1,0.0536,0.443,0,0.147,0.789,128.023,191008,4,1,Afterglow,THE DRIVER ERA
0.803,0.549,4,-7.565,0,0.124,0.22,9.03E-06,0.112,0.695,100.007,179827,4,1,scorton's creek - re-imagined by filous,"Isaac Dunbar, filous"
0.691,0.389,4,-8.247,1,0.0367,0.765,0,0.0941,0.306,104.952,227032,4,0,drunk,keshi
0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,1,Kids,MGMT
0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,3,0,golden hour,JVKE
0.563,0.691,2,-8.006,1,0.0357,0.0129,0.000404,0.0744,0.425,157.034,190813,4,1,Sprite,COIN
0.422,0.25,0,-6.836,1,0.0351,0.441,0,0.35,0.246,124.026,161613,4,0,As the World Caves In,Sarah Cothran
0.555,0.468,9,-7.64,1,0.0592,0.399,0,0.172,0.41,113.345,239523,3,1,Lovesong (The Way) [feat. Bluets],"Charlie Burg, Bluets"
0.472,0.204,3,-13.065,1,0.0452,0.917,0,0.107,0.224,82.51,168907,4,1,Valentine,Laufey
0.898,0.509,5,-7.973,1,0.062,0.391,0,0.0876,0.727,119.869,181507,4,0,THE SHADE,Rex Orange County
0.615,0.431,7,-8.003,0,0.124,0.465,0,0.25,0.426,137.718,184774,4,1,Home,Ricky Rosen
0.535,0.359,2,-9.343,1,0.0607,0.771,0,0.111,0.488,154.163,184505,4,0,i don't want to watch the world end with someone else,Clinton Kane
0.4,0.245,11,-10.227,1,0.0344,0.906,0.00131,0.119,0.21,136.553,210447,3,1,All I Need To Hear,The 1975
0.47,0.148,2,-11.915,1,0.0459,0.927,0,0.0989,0.273,94.585,202800,4,1,Same Boat,Lizzy McAlpine
0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360,4,0,Another Love,Tom Odell
0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,326491,4,1,About You,The 1975
0.798,0.628,6,-6.835,0,0.0699,0.7,0.0759,0.123,0.903,87.01,226799,4,1,As It Was,PREP
0.424,0.773,8,-5.593,0,0.0605,0.355,0.000392,0.113,0.66,147.916,211565,4,1,Water & Oil,Micah Edwards
0.53,0.188,9,-9.177,1,0.0317,0.959,0.000325,0.111,0.341,76.9,252039,3,1,Time,Micah Edwards
0.746,0.444,2,-7.987,0,0.0294,0.133,0.0063,0.193,0.565,95.486,198613,4,1,Killer,HYBS
0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,234360,4,0,Sweet Disposition,The Temper Trap
0.639,0.465,11,-7.247,0,0.0696,0.27,1.45E-06,0.124,0.319,86.994,224740,4,1,Without You,Oh Wonder
0.448,0.177,2,-20.51,0,0.0947,0.829,1.48E-05,0.108,0.257,158.177,210344,4,1,Crazy In Love - BBC Session,Oh Wonder
0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,196784,4,1,"Sex, Drugs, Etc.",Beach Weather
0.81,0.471,3,-10.148,1,0.0495,0.639,0.00295,0.0774,0.525,111.971,283191,4,1,Everything Is Just a Mess,The Brook & The Bluff
0.698,0.604,11,-6.489,1,0.0494,0.518,0,0.07,0.832,118.692,158373,4,1,Channel Orange In Your Living Room,Charlie Burg
0.643,0.815,2,-5.388,1,0.0323,0.0981,1.62E-05,0.113,0.383,112.003,192765,4,0,Apt. 4,Vacation Manor
0.521,0.818,9,-7.131,1,0.043,0.00464,4.68E-05,0.131,0.606,160.002,193587,4,0,Valentine,COIN
0.823,0.544,5,-10.077,1,0.0358,0.389,0.165,0.108,0.826,121.968,162663,4,0,Metamodernity,Vansire
0.688,0.758,9,-6.056,1,0.0337,0.0686,5.62E-06,0.189,0.788,119.972,229387,4,0,Can't Run Forever,Vacation Manor
0.512,0.906,8,-5.319,1,0.0388,0.00146,4.38E-06,0.085,0.788,174.004,203697,4,0,Stranger,Vistas
0.571,0.691,3,-7.027,0,0.0312,0.0873,0.0721,0.124,0.617,110.004,262511,4,1,Better Than I Know Myself,Del Water Gap
0.577,0.352,7,-9.752,0,0.0322,0.586,2.79E-05,0.111,0.354,172.073,205905,4,1,Alone Together,Del Water Gap
0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,267520,4,0,Pluto Projector,Rex Orange County
0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,155147,4,1,Remember When,Wallows
0.834,0.586,6,-8.278,1,0.0267,0.439,0.083,0.102,0.878,102.048,203532,4,1,Dancing with my phone,HYBS
0.787,0.253,7,-11.997,1,0.0704,0.776,0.236,0.107,0.552,139.976,205536,4,1,Call You,babychair
0.826,0.709,0,-6.597,1,0.0369,0.0962,0.000646,0.397,0.956,117.028,180731,4,0,Across the Room,"Public Library Commute, Forrest."
0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75E-05,0.335,0.381,99.806,254510,4,1,Robbers,The 1975
0.614,0.719,9,-4.694,1,0.0955,0.179,1.72E-05,0.163,0.34,160.075,271733,4,0,Hard Place,H.E.R.
0.587,0.724,6,-6.775,1,0.0321,0.618,0.000166,0.157,0.837,106.994,220588,4,0,Was It Something I Said,MyKey
0.719,0.28,10,-10.133,1,0.055,0.649,3.22E-06,0.0913,0.791,129.929,214273,4,0,Still The One,Jesse Barrera
0.501,0.506,2,-7.24,0,0.0281,0.164,0.000155,0.143,0.144,74.924,236307,4,1,Soda,Nothing But Thieves
0.868,0.455,8,-6.614,1,0.0338,0.23,0.000107,0.197,0.803,118.022,270869,4,1,15th Floor,PREP
0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,177533,4,1,the perfect pair,beabadoobee
0.751,0.718,1,-5.448,1,0.0657,0.112,0.00476,0.0557,0.88,155.928,208127,4,1,Back To You,PREP
0.579,0.257,5,-13.364,0,0.0387,0.93,0,0.195,0.485,93.308,153889,3,0,READY - Acoustic Version,PJ Morton
